eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,1.9255840000000002,186164596,2575980,1H,24269,"[{'y': 49, 'x': 51}, {'y': 30, 'x': 48}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,4.752566999999999,186165833,2575980,1H,22323,"[{'y': 30, 'x': 48}, {'y': 3, 'x': 56}]",85,Simple pass,[{'id': 1801}],3219
7,Others on the ball,8.659092999999999,186164600,2575980,1H,21322,"[{'y': 3, 'x': 56}, {'y': 12, 'x': 79}]",70,Acceleration,[{'id': 1801}],3219
1,Duel,9.686901000000006,186164568,2575980,1H,20927,"[{'y': 88, 'x': 21}, {'y': 87, 'x': 9}]",12,Ground defending duel,"[{'id': 501}, {'id': 701}, {'id': 1802}]",3185
1,Duel,10.231440000000006,186164602,2575980,1H,21322,"[{'y': 12, 'x': 79}, {'y': 13, 'x': 91}]",11,Ground attacking duel,"[{'id': 502}, {'id': 703}, {'id': 1801}]",3219
8,Pass,11.522692000000006,186164605,2575980,1H,21322,"[{'y': 13, 'x': 91}, {'y': 43, 'x': 88}]",80,Cross,"[{'id': 401}, {'id': 1801}]",3219
1,Duel,12.192964000000003,186164607,2575980,1H,24269,"[{'y': 43, 'x': 88}, {'y': 25, 'x': 47}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",3219
1,Duel,12.211084,186164570,2575980,1H,20525,"[{'y': 57, 'x': 12}, {'y': 75, 'x': 53}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",3185
1,Duel,12.630092000000005,186164609,2575980,1H,22135,"[{'y': 25, 'x': 47}, {'y': 62, 'x': 90}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",3219
7,Others on the ball,13.580770000000001,186164571,2575980,1H,14745,"[{'y': 38, 'x': 10}, {'y': 17, 'x': 29}]",71,Clearance,[{'id': 1401}],3185
7,Others on the ball,16.564789000000005,186165006,2575980,1H,25898,"[{'y': 17, 'x': 29}, {'y': 14, 'x': 43}]",72,Touch,[],3185
1,Duel,19.659847,186164611,2575980,1H,256478,"[{'y': 86, 'x': 57}, {'y': 87, 'x': 61}]",12,Ground defending duel,"[{'id': 703}, {'id': 1801}]",3219
1,Duel,20.040042999999997,186164997,2575980,1H,25898,"[{'y': 14, 'x': 43}, {'y': 13, 'x': 39}]",11,Ground attacking duel,"[{'id': 701}, {'id': 1802}]",3185
8,Pass,21.477880999999996,186164613,2575980,1H,134484,"[{'y': 87, 'x': 61}, {'y': 81, 'x': 44}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,22.943448000000004,186164615,2575980,1H,256478,"[{'y': 81, 'x': 44}, {'y': 69, 'x': 59}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,25.850651999999997,186165834,2575980,1H,22323,"[{'y': 69, 'x': 59}, {'y': 86, 'x': 60}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,28.720094000000003,186164617,2575980,1H,134484,"[{'y': 86, 'x': 60}, {'y': 64, 'x': 32}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,31.418657999999994,186164618,2575980,1H,21872,"[{'y': 64, 'x': 32}, {'y': 35, 'x': 31}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,35.025233,186164619,2575980,1H,22614,"[{'y': 35, 'x': 31}, {'y': 17, 'x': 48}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,37.733422000000004,186164620,2575980,1H,256478,"[{'y': 17, 'x': 48}, {'y': 4, 'x': 54}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,43.083256000000006,186164622,2575980,1H,24838,"[{'y': 4, 'x': 54}, {'y': 9, 'x': 84}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,46.97568699999999,186164626,2575980,1H,21322,"[{'y': 9, 'x': 84}, {'y': 15, 'x': 42}]",85,Simple pass,[{'id': 1801}],3219
1,Duel,48.021738,186164573,2575980,1H,20927,"[{'y': 78, 'x': 14}, {'y': 85, 'x': 58}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3185
1,Duel,49.803670999999994,186164574,2575980,1H,20525,"[{'y': 85, 'x': 58}, {'y': 78, 'x': 14}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",3185
1,Duel,49.898887,186164628,2575980,1H,22135,"[{'y': 22, 'x': 86}, {'y': 11, 'x': 76}]",11,Ground attacking duel,"[{'id': 701}, {'id': 1802}]",3219
8,Pass,52.98314499999999,186164575,2575980,1H,8148,"[{'y': 89, 'x': 24}, {'y': 42, 'x': 45}]",83,High pass,[{'id': 1802}],3185
8,Pass,55.528256999999996,186164636,2575980,1H,21872,"[{'y': 58, 'x': 55}, {'y': 75, 'x': 66}]",82,Head pass,"[{'id': 1401}, {'id': 1802}]",3219
8,Pass,59.636219,186165007,2575980,1H,25898,"[{'y': 25, 'x': 34}, {'y': 90, 'x': 53}]",83,High pass,[{'id': 1802}],3185
8,Pass,63.872752000000006,186164637,2575980,1H,21322,"[{'y': 10, 'x': 47}, {'y': 30, 'x': 28}]",85,Simple pass,"[{'id': 1401}, {'id': 1801}]",3219
8,Pass,64.769911,186164640,2575980,1H,22614,"[{'y': 30, 'x': 28}, {'y': 29, 'x': 56}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,69.39824200000001,186164642,2575980,1H,256478,"[{'y': 29, 'x': 56}, {'y': 3, 'x': 68}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,73.126248,186164644,2575980,1H,21322,"[{'y': 3, 'x': 68}, {'y': 9, 'x': 63}]",85,Simple pass,[{'id': 1801}],3219
8,Pass,75.514387,186164648,2575980,1H,24838,"[{'y': 9, 'x': 63}, {'y': 26, 'x': 86}]",86,Smart pass,"[{'id': 901}, {'id': 1802}]",3219
6,Offside,80.476258,186164652,2575980,1H,24269,"[{'y': 26, 'x': 86}, {'y': 0, 'x': 0}]",,,[],3219
3,Free Kick,116.67975999999999,186164576,2575980,1H,25421,"[{'y': 68, 'x': 8}, {'y': 80, 'x': 28}]",31,Free Kick,[{'id': 1801}],3185
8,Pass,120.831391,186164577,2575980,1H,25558,"[{'y': 80, 'x': 28}, {'y': 93, 'x': 35}]",85,Simple pass,[{'id': 1801}],3185
8,Pass,127.43605400000001,186164578,2575980,1H,20927,"[{'y': 93, 'x': 35}, {'y': 76, 'x': 27}]",85,Simple pass,[{'id': 1801}],3185
8,Pass,128.462122,186164579,2575980,1H,25558,"[{'y': 76, 'x': 27}, {'y': 29, 'x': 29}]",85,Simple pass,[{'id': 1801}],3185
8,Pass,133.186125,186164580,2575980,1H,21279,"[{'y': 29, 'x': 29}, {'y': 33, 'x': 34}]",85,Simple pass,[{'id': 1801}],3185
8,Pass,135.620128,186164581,2575980,1H,20941,"[{'y': 33, 'x': 34}, {'y': 65, 'x': 31}]",85,Simple pass,[{'id': 1801}],3185
8,Pass,136.21458,186164582,2575980,1H,25558,"[{'y': 65, 'x': 31}, {'y': 54, 'x': 13}]",85,Simple pass,[{'id': 1801}],3185
