eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,3.241709000000014,192631405,2516793,1H,91519,"[{'y': 52, 'x': 51}, {'y': 59, 'x': 43}]",85,Simple pass,[{'id': 1801}],2463
8,Pass,4.469900999999993,192632276,2516793,1H,356903,"[{'y': 59, 'x': 43}, {'y': 75, 'x': 33}]",85,Simple pass,[{'id': 1801}],2463
8,Pass,6.861577000000011,192631409,2516793,1H,20680,"[{'y': 75, 'x': 33}, {'y': 88, 'x': 70}]",83,High pass,[{'id': 1801}],2463
1,Duel,8.801992999999982,192631406,2516793,1H,18579,"[{'y': 12, 'x': 30}, {'y': 50, 'x': 31}]",10,Air duel,"[{'id': 703}, {'id': 1801}]",2975
1,Duel,8.828429000000028,192631411,2516793,1H,94831,"[{'y': 88, 'x': 70}, {'y': 50, 'x': 69}]",10,Air duel,"[{'id': 701}, {'id': 1802}]",2463
8,Pass,11.373805000000004,192631407,2516793,1H,258252,"[{'y': 50, 'x': 31}, {'y': 48, 'x': 17}]",85,Simple pass,[{'id': 1801}],2975
8,Pass,14.520416000000012,192631408,2516793,1H,393247,"[{'y': 48, 'x': 17}, {'y': 49, 'x': 4}]",85,Simple pass,[{'id': 1801}],2975
8,Pass,20.04144100000002,192631410,2516793,1H,9611,"[{'y': 49, 'x': 4}, {'y': 63, 'x': 14}]",85,Simple pass,[{'id': 1801}],2975
8,Pass,22.11913500000003,192631420,2516793,1H,15937,"[{'y': 63, 'x': 14}, {'y': 61, 'x': 38}]",85,Simple pass,[{'id': 1801}],2975
1,Duel,26.159318999999982,192631479,2516793,1H,15253,"[{'y': 39, 'x': 62}, {'y': 11, 'x': 70}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",2463
1,Duel,26.831086000000028,192631426,2516793,1H,65027,"[{'y': 61, 'x': 38}, {'y': 89, 'x': 30}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",2975
8,Pass,27.891493000000025,192631412,2516793,1H,15317,"[{'y': 11, 'x': 70}, {'y': 12, 'x': 75}]",85,Simple pass,[{'id': 1801}],2463
1,Duel,30.527364999999975,192631413,2516793,1H,91519,"[{'y': 12, 'x': 75}, {'y': 7, 'x': 75}]",11,Ground attacking duel,"[{'id': 703}, {'id': 1801}]",2463
1,Duel,31.12125500000002,192631429,2516793,1H,258252,"[{'y': 88, 'x': 25}, {'y': 93, 'x': 25}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",2975
8,Pass,31.641885000000002,192631414,2516793,1H,91519,"[{'y': 7, 'x': 75}, {'y': 11, 'x': 89}]",85,Simple pass,[{'id': 1801}],2463
1,Duel,34.897876,192631415,2516793,1H,15317,"[{'y': 11, 'x': 89}, {'y': 12, 'x': 91}]",11,Ground attacking duel,"[{'id': 502}, {'id': 703}, {'id': 1801}]",2463
1,Duel,35.683667000000014,192631430,2516793,1H,258252,"[{'y': 89, 'x': 11}, {'y': 88, 'x': 9}]",12,Ground defending duel,"[{'id': 501}, {'id': 701}, {'id': 1802}]",2975
8,Pass,35.890804,192631416,2516793,1H,15317,"[{'y': 12, 'x': 91}, {'y': 0, 'x': 0}]",80,Cross,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",2463
7,Others on the ball,37.538238999999976,192631431,2516793,1H,258252,"[{'y': 85, 'x': 2}, {'y': 90, 'x': 0}]",72,Touch,[{'id': 1401}],2975
